Date,BOVA11
2021-01-04,114.08999633789062
2021-01-05,114.69000244140625
2021-01-06,114.55000305175781
2021-01-07,118.37000274658203
2021-01-08,120.4000015258789
2021-01-11,118.62000274658203
2021-01-12,119.44999694824219
2021-01-13,117.36000061035156
2021-01-14,118.68000030517578
2021-01-15,115.77999877929688
2021-01-18,116.54000091552734
2021-01-19,116.0
2021-01-20,115.23999786376953
2021-01-21,113.80999755859375
2021-01-22,113.18000030517578
2021-01-26,112.08000183105469
2021-01-27,110.95999908447266
2021-01-28,114.51000213623047
2021-01-29,110.55999755859375
2021-02-01,113.05999755859375
2021-02-02,113.8499984741211
2021-02-03,115.25
2021-02-04,114.62000274658203
2021-02-05,115.81999969482422
2021-02-08,115.18000030517578
2021-02-09,114.91000366210938
2021-02-10,113.91999816894531
2021-02-11,114.9000015258789
2021-02-12,115.05000305175781
2021-02-17,115.86000061035156
2021-02-18,114.61000061035156
2021-02-19,113.81999969482422
2021-02-22,108.25
2021-02-23,110.76000213623047
2021-02-24,111.45999908447266
2021-02-25,107.52999877929688
2021-02-26,105.58999633789062
2021-03-01,105.94000244140625
2021-03-02,107.5
2021-03-03,107.16000366210938
2021-03-04,108.56999969482422
2021-03-05,110.93000030517578
2021-03-08,105.3499984741211
2021-03-09,107.19000244140625
2021-03-10,108.62999725341797
2021-03-11,110.44999694824219
2021-03-12,109.68000030517578
2021-03-15,110.66000366210938
2021-03-16,109.69000244140625
2021-03-17,112.05000305175781
2021-03-18,110.5
2021-03-19,111.69999694824219
2021-03-22,110.69000244140625
2021-03-23,109.0199966430664
2021-03-24,107.87000274658203
2021-03-25,109.37999725341797
2021-03-26,110.27999877929688
2021-03-29,110.95999908447266
2021-03-30,112.43000030517578
2021-03-31,112.0199966430664
2021-04-01,110.68000030517578
2021-04-05,113.20999908447266
2021-04-06,113.2699966430664
2021-04-07,113.18000030517578
2021-04-08,113.75
2021-04-09,113.01000213623047
2021-04-12,114.4000015258789
2021-04-13,114.66999816894531
2021-04-14,115.5999984741211
2021-04-15,116.19999694824219
2021-04-16,116.45999908447266
2021-04-19,116.33999633789062
2021-04-20,115.4800033569336
2021-04-22,114.94999694824219
2021-04-23,115.97000122070312
2021-04-26,115.94999694824219
2021-04-27,114.77999877929688
2021-04-28,116.4000015258789
2021-04-29,115.31999969482422
2021-04-30,114.4000015258789
2021-05-03,114.68000030517578
2021-05-04,113.2699966430664
2021-05-05,115.1500015258789
2021-05-06,115.43000030517578
2021-05-07,117.45999908447266
2021-05-10,117.13999938964844
2021-05-11,118.12999725341797
2021-05-12,115.2699966430664
2021-05-13,116.04000091552734
2021-05-14,117.23999786376953
2021-05-17,118.30999755859375
2021-05-18,118.19000244140625
2021-05-19,118.01000213623047
2021-05-20,117.91000366210938
2021-05-21,118.01000213623047
2021-05-24,119.26000213623047
2021-05-25,118.4000015258789
2021-05-26,119.23999786376953
2021-05-27,119.58999633789062
2021-05-28,120.72000122070312
2021-05-31,121.25
2021-06-01,123.33000183105469
2021-06-02,124.66999816894531
2021-06-04,125.05000305175781
2021-06-07,125.75
2021-06-08,124.70999908447266
2021-06-09,124.87999725341797
2021-06-10,125.0
2021-06-11,124.4800033569336
2021-06-14,125.1500015258789
2021-06-15,125.18000030517578
2021-06-16,124.22000122070312
2021-06-17,123.08999633789062
2021-06-18,123.2699966430664
2021-06-21,124.2300033569336
2021-06-22,123.81999969482422
2021-06-23,123.54000091552734
2021-06-24,124.52999877929688
2021-06-25,122.5
2021-06-28,122.44999694824219
2021-06-29,122.30999755859375
2021-06-30,121.80999755859375
2021-07-01,120.7300033569336
2021-07-02,122.77999877929688
2021-07-05,121.97000122070312
2021-07-06,120.30000305175781
2021-07-07,122.27999877929688
2021-07-08,120.66000366210938
2021-07-12,122.77999877929688
2021-07-13,123.31999969482422
2021-07-14,123.47000122070312
2021-07-15,122.80000305175781
2021-07-16,121.1500015258789
2021-07-19,119.73999786376953
2021-07-20,120.5999984741211
2021-07-21,121.12000274658203
2021-07-22,121.43000030517578
2021-07-23,120.19999694824219
2021-07-26,121.19999694824219
2021-07-27,119.76000213623047
2021-07-28,121.44999694824219
2021-07-29,120.7300033569336
2021-07-30,117.11000061035156
2021-08-02,117.5999984741211
2021-08-03,118.7300033569336
2021-08-04,116.95999908447266
2021-08-05,116.93000030517578
2021-08-06,118.23999786376953
2021-08-09,118.13999938964844
2021-08-10,117.56999969482422
2021-08-11,117.26000213623047
2021-08-12,115.87000274658203
2021-08-13,116.55999755859375
2021-08-16,114.62999725341797
2021-08-17,113.3499984741211
2021-08-18,112.05999755859375
2021-08-19,112.8499984741211
2021-08-20,113.6500015258789
2021-08-23,113.05000305175781
2021-08-24,115.62999725341797
2021-08-25,116.13999938964844
2021-08-26,114.06999969482422
2021-08-27,116.18000030517578
2021-08-30,115.08000183105469
2021-08-31,114.08000183105469
2021-09-01,114.80000305175781
2021-09-02,112.1500015258789
2021-09-03,112.08999633789062
2021-09-06,113.4800033569336
2021-09-08,109.08000183105469
2021-09-09,111.51000213623047
2021-09-10,109.87999725341797
2021-09-13,112.12000274658203
2021-09-14,111.69999694824219
2021-09-15,110.68000030517578
2021-09-16,109.44000244140625
2021-09-17,107.13999938964844
2021-09-20,104.7699966430664
2021-09-21,105.7699966430664
2021-09-22,107.98999786376953
2021-09-23,109.5999984741211
2021-09-24,109.02999877929688
2021-09-27,108.88999938964844
2021-09-28,105.83000183105469
2021-09-29,106.83000183105469
2021-09-30,106.48999786376953
2021-10-01,108.48999786376953
2021-10-04,106.18000030517578
