,TAEE11.SA,BBAS3.SA,ABEV3.SA,WEGE3.SA,RANI3.SA,GOGL34.SA,BERK34.SA,Capital,tx retorno
106,16517.870565736488,18122.5502592883,392.68410935511275,135.44965141371793,30820.337314713932,26311.520068743506,37109.06777640568,129409.47974565675,-0.12503956597244015
107,16716.234194987628,18071.645723446924,392.8874991149654,134.18412019619947,31259.661600516192,26678.581836561156,36732.84320201575,129986.03817683882,0.44553029060563354
108,16497.203836746205,18020.74237496643,385.1599382215299,135.2914441511509,31090.69104134117,26993.67022160513,37607.31427671974,130730.07313375137,0.5723960567982855
109,16736.898870141493,18219.46502940503,396.1412442086572,137.94115806801875,29975.48035910277,26961.18735341441,36595.57338395583,129022.6873982962,-1.3060389966341734
110,16815.4160096132,18158.08440847949,389.0236740260703,140.23488581863933,29772.714024198314,26698.07235114411,36336.28163997179,128309.82699325163,-0.5525077948841273
111,16493.07357170278,18285.960801021112,388.210293555369,137.7433950247157,29941.688743109407,26408.970657486963,36305.77809793265,127961.42555983299,-0.27153137182310827
112,16414.558486067494,17851.193177460624,386.5834433296118,136.1219410824588,29806.50979992775,26730.557203506123,35614.33603323106,126939.86008460511,-0.7983386170937967
113,16604.654396804308,17825.612674564407,381.49945825031006,139.16708592366956,29569.94768929387,26532.40595344597,35253.35935097691,126306.64660925945,-0.4988295047147706
114,16311.24024488923,17687.51310480702,380.88937825510675,139.40437302695426,31462.4258555526,26451.197790883518,35233.02624220668,127665.69698962112,1.075992765896161
115,16133.540263873741,17314.115415924112,371.9416573712645,135.6078903970393,32847.98818455022,26249.80043659271,34872.04955995253,127925.04340866163,0.20314495213353823
116,15914.515040223368,17314.115415924112,365.8409243824975,134.26324761804875,32341.07442715713,26311.520068743506,34800.87204260535,127182.20116665402,-0.5806855500799513
117,15840.129192713293,17349.923845479632,365.02749926961894,135.7660500784747,31225.8679046548,25989.93352272435,34343.30339648311,125249.9514114033,-1.519276862270047
118,15579.777699509828,16828.199847540924,344.691692878944,132.72089730707535,30752.754082727213,26080.889918835215,34917.80875189503,124636.84289069424,-0.4895079908615707
119,15633.50092570246,16700.325829721074,355.8763663048354,134.54326257750947,29975.48035910277,26051.653154875145,34572.08771954423,123423.46761782804,-0.9735285688601159
120,15426.871631773414,16587.796076611943,351.60585098058965,137.31324573468262,30279.623621855335,26152.351832020544,34582.25427392935,123517.81653290585,0.07644325418725284
121,15249.175758430772,16434.348680061183,347.13199053866856,133.31655756337588,31327.255231843093,26402.472496511786,35212.68925455266,125106.38996950153,1.2861087421930595
122,15145.857517252509,16260.439493387394,349.77563331606837,135.53253774496352,30482.396196363894,26740.301468711954,35873.623898331316,124987.9267451081,-0.09468998699612152
123,15459.934290485027,16439.462643390834,354.4528611967535,139.5292417766475,31023.105729486415,27610.85463808532,35995.64582425544,127022.98522867644,1.6282040486346405
124,15546.71504079822,16337.163191662776,364.82410950976623,138.1442977791925,30381.01094904363,27513.40404934186,36097.32688364177,126378.58852177722,-0.5073071662889395
125,15435.138323369527,16091.64664476503,356.8931365353894,136.71970283873827,30414.806724773065,28468.415453850914,36763.346744054885,127666.96673018755,1.01945924818454
126,15674.826168337342,16306.473474880446,361.36706394057643,142.69498892608476,30178.24461413918,28715.288029940217,37266.6784610034,128645.57280116726,0.7665303688525027
127,15447.536306927279,16260.439493387394,353.0293560886716,137.4319447976452,29941.688743109407,28422.93824788113,36707.42099772727,127270.48508991879,-1.0688962560521098
128,15451.667598888913,16674.747701546625,359.13006675634995,140.7955818734031,29502.360297571075,28474.9116306548,36905.70177874925,127509.31465604041,0.18765510790101914
129,15596.310055783846,16603.139153961783,361.97705465142514,139.2127162288731,29096.827627762174,28699.047587930498,36870.11302007566,127366.62721639426,-0.11190354213027609
130,15728.550421448184,16715.667719710025,364.21407415674025,138.53998246957062,28319.56222360987,28179.313760193774,35893.96088598534,125339.80906757351,-1.5913259172492755
131,15678.96054105361,16459.92443351386,358.3166862856487,138.18386942030574,27643.68206677784,28211.7966283845,36478.63667466616,124969.50090010194,-0.2954433792634381
132,15786.409047275294,16260.439493387394,354.4528611967535,135.69085603017092,27677.473682771204,28179.313760193774,36148.16741333493,124541.94711418952,-0.34212650513359977
133,15753.344334727262,16137.679438897192,345.9118082271733,135.25555211754798,27407.117876275923,28218.294789359672,36336.28163997179,124333.88543957655,-0.16706152379503125
134,15951.705910141984,16424.114816597456,346.31854310470123,136.71970283873827,27102.976693391396,28715.288029940217,36870.11302007566,125547.23671609015,0.9758814117518
135,16046.75643280592,16587.796076611943,349.77563331606837,136.32397056722857,27001.58728633506,28660.066558764596,36971.79795834576,125754.10391674658,0.16477240444903174
136,15997.166552411343,16342.278342353311,346.31854310470123,138.89611137921267,27238.15147683698,29001.141635195414,36870.11302007566,125934.06568135662,0.1431060768634529
137,15802.93524204005,16255.31959325332,340.6245226723736,137.70900972694676,27069.17675792589,30160.79848239721,36915.87221201815,126682.43582003393,0.5942555214336398
138,15625.234234106347,16505.954852924257,347.53870309510785,137.11543511024797,27576.090515318978,30001.628261502967,36712.506214361725,126906.06821641963,0.176529915088941
139,15645.898909260208,16582.678551199635,344.08159056265214,136.08655658092624,26765.02933543725,29511.13119772631,36809.10593599738,125794.01207676437,-0.87628287227276
140,15835.99687383345,16828.199847540924,352.41929841455686,147.20617187337257,26629.8566318597,30160.79848239721,36249.85235160503,126204.32965752426,0.32618212424093684
141,15745.08072388578,16562.22032315927,348.35210588689785,142.97199041387753,27711.269458500632,29949.656862900585,36107.4934380269,126567.04490277394,0.2874031709006797
142,15716.150384054015,16178.597082338825,338.3875701303244,141.3100290682526,27339.530484553132,30479.13495584314,36966.71274171131,127159.823247699,0.46835125634829833
143,16344.304957437264,16398.54381258832,342.8614752144228,145.67502691889075,28657.50750169598,30180.287012808876,36295.607664663745,128364.78745132752,0.9475982058274157
144,16212.05740334545,16306.473474880446,347.13199053866856,144.76078719596848,27846.446321814255,30479.13495584314,37164.99352273329,128500.99845635121,0.10611243763041234
145,16315.372563769079,16066.069703951465,338.18420269156036,143.3696417910284,27677.473682771204,30531.110322788103,36936.20919967217,128007.78931743461,-0.38381735927455196
146,16150.07262014776,15779.634326251202,337.9808798949737,142.5349259993854,27474.70734786675,30829.954297479784,37236.17104008047,127951.05543772032,-0.04432064643629108
147,16282.311958893883,16260.439493387394,347.74204821278323,144.04537316162163,27136.76206978064,30924.156797821295,38105.55689815002,129201.01463940763,0.9769041743432183
148,16592.259494001195,16112.107247527169,348.96218588210115,143.72737259876763,27914.03371353705,31021.60738656476,38369.93385876851,130502.63125887956,1.0074352922882612
149,16364.965524918285,15702.905878532283,339.81107523840626,143.44913400155332,28218.18321589373,30920.908709419353,38232.66016182481,129922.88369982841,-0.4442420458949159
150,16348.435222480686,15549.458481981523,336.96406502224244,143.6875789123736,27586.887110297837,30979.380253168205,38639.39215713767,129584.20486900053,-0.2606768116464764
151,16290.578650489999,15211.872784736788,337.16743246100646,141.14374887369092,27007.905925430758,31203.51422627261,38802.08417948606,128994.26694775092,-0.45525449791199435
152,16323.642336119823,15089.112730246587,338.5909375690883,142.17719519164618,26258.63762492139,31346.440036814565,38354.682087748944,127853.28294861206,-0.8845230304700413
153,16385.630200072148,15063.540538876563,333.5069748108753,136.7715186910497,24862.259982132586,31557.583640482488,38878.346913467685,127217.63976853341,-0.49716609962541236
154,16497.203836746205,15002.15754322925,331.8801022640294,137.88445721952982,24691.970786622256,31193.76797689549,38786.832408466486,126641.69711144324,-0.4527223254087054
155,16331.905946961306,15073.768465535864,334.93047991895725,133.47251265238052,24521.681591111927,31590.066508673208,39290.16024653122,127275.98575138485,0.5008529215961621
156,16509.601820303953,15176.067917263921,349.57228819839315,139.871825924161,24862.259982132586,31931.14158510403,39351.17120949328,128319.68662842031,0.8200296944265384
157,16732.76141667059,15196.524957943411,356.689791417714,143.01192684366637,24964.431419570745,32122.794674189005,39142.719995202395,128658.93418183753,0.26437685621816254
158,16410.423086433013,15334.632839226986,353.0293560886716,142.0977029811213,25236.898292123344,32720.486591914945,39147.80521183685,129345.37308060493,0.533533798591268
159,16505.472582178736,15835.727629157951,357.70656164826806,141.73998803375926,26054.290590308992,32252.72813112318,38308.92289580644,129456.58837825732,0.08598320527715142
160,16369.095789961713,15783.976505005912,357.5032165305927,144.6017869145415,26156.46202774715,32061.07504203821,38141.14565682361,129013.86002502174,-0.3419898197393967
161,15761.607945568743,15561.448452193457,347.94541565154725,146.15194846128574,25032.547097774877,32239.733793344116,38202.156619785674,127291.5912727797,-1.334948626378607
162,15720.28372985207,15799.503623292852,346.5219105434653,146.66867955045194,25441.2432468677,32561.318355191986,38039.46459743728,128055.00414273581,0.5997355067391297
163,15786.409047275294,15649.424769571488,349.36889843854044,145.79421765354653,24828.20006316248,32356.672912499234,37627.65126437376,126743.52117297435,-1.0241559699608604
164,15666.56153057765,15747.75012441904,347.74204821278323,141.34252698113477,23636.175694590187,32486.60636943342,37571.72551804615,125597.90381226037,-0.9038863289512755
165,15749.210988929208,15763.278430066863,350.99579330647504,144.24408782755665,23942.696246508774,32704.244165733937,37698.82878172094,126353.49849409374,0.601598162786865
166,15596.310055783846,15111.220202555567,335.9472947916885,142.05795687585882,23295.597303569528,32320.94195590657,37424.285266717336,124226.3600362004,-1.6834820430340236
167,15695.488789654788,15074.993821968696,336.7607199045671,144.08510340650687,23363.71298177366,32610.043649563715,37251.42281110004,124476.50787737197,0.20136454219432665
168,15612.83830438502,15344.094918115776,349.57228819839315,144.6017869145415,23738.347132028342,32613.291737965654,37220.919269060905,125023.66543666863,0.43956692602244996
169,15224.376710560642,14697.212396700124,329.64317204306883,145.03904165356,22410.09348691582,33045.319242164755,37876.77257508889,123728.45662512686,-1.0359709156006702
170,15327.68981714784,14955.96445537767,331.6767348252654,154.37970945815644,22920.95899357877,32441.131147634922,37190.415727021755,123322.21658504439,-0.32833193847499054
171,15302.895903868768,15002.541060794953,327.406264143197,153.66427956343236,22784.72555730247,32152.027469806493,37098.901222020555,122822.16175749985,-0.40548640901186817
172,15509.523143961393,15333.748255368018,332.49020458032135,154.61821781048548,23261.539464467463,32002.60548246065,37236.17104008047,123830.69580872881,0.8211336104148703
173,15716.150384054015,15221.6471395382,334.3204445659312,156.5260784442146,23125.310187927236,32304.699529725567,37124.31954742525,123982.9733116804,0.12297233893185933
174,15488.860522643949,15101.874485033464,325.7793915963511,158.35444686741877,22307.92204947766,32791.95048927156,37175.16395600219,123349.9053408926,-0.5106087988358987
175,15431.004977571472,15346.627558882461,328.01632181731156,158.59297108012507,22001.39525795496,32850.420048849126,37363.274303755265,123479.33143991072,0.10492598162961109
176,15340.088827623804,15070.629083357178,320.0853488429347,155.77088658385088,21626.759027832235,32220.243278761172,37068.39767998142,121801.9741329826,-1.3584113935248943
177,15063.207031982742,14581.120560937416,317.44172838662354,154.57847170522305,20809.372969250697,31869.421952953242,37266.6784610034,120061.82117621935,-1.428673852907647
178,15224.376710560642,14950.855241491561,318.45849861717744,157.99676364081114,21218.071198211557,31983.112983706407,36870.11302007566,120722.9844163038,0.5506856664401649
179,15232.641348320327,15299.761237409359,319.67863628649536,161.25607115534947,21286.18063681158,32142.283204600662,36814.19115263183,121255.9922872156,0.4415131662697691
180,15307.028222748615,15336.214403925174,322.9323813801872,163.6409326333595,22512.267004222016,32532.083575403205,37627.65126437376,123801.81778468631,2.0995461333081833
181,15149.988809214143,15216.440562059555,322.1189562673086,164.3165847020667,22273.86213050756,32814.68909225646,37861.520804069325,123802.93693907643,0.0009039886571526878
182,15245.039331878077,15554.934590380954,321.91558882854457,162.49010366374935,21933.27957975083,32977.10541738137,38324.17466682602,124518.93927870954,0.5783403506699258
183,15178.91914904591,15237.270434056785,313.9846158541677,161.7345311543328,21422.40991335181,31931.14158510403,38161.48264447763,122406.94287304467,-1.6961246360584714
