,TAEE11.SA,BBAS3.SA,ABEV3.SA,WEGE3.SA,RANI3.SA,GOGL34.SA,BERK34.SA,Capital,tx retorno
0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
1,0.0,0.0,0.0,0.0,98886.84057263094,0.0,0.0,98886.84057263094,-1.1131594273690593
2,0.0,0.0,0.0,0.0,98330.25498797625,0.0,0.0,98330.25498797625,-0.5628510137765885
3,0.0,0.0,0.0,0.0,106679.07398361765,0.0,0.0,106679.07398361765,8.4905902020312
4,0.0,0.0,0.0,0.0,110389.63280604193,0.0,0.0,110389.63280604193,3.478244311526457
5,0.0,0.0,0.0,0.0,109090.91549560381,0.0,0.0,109090.91549560381,-1.1764848540804618
6,0.0,0.0,0.0,0.0,110204.11014879387,0.0,0.0,110204.11014879387,1.0204283721818364
7,0.0,0.0,0.0,0.0,107977.75606823477,0.0,0.0,107977.75606823477,-2.0202096614664877
8,0.0,0.0,0.0,0.0,112059.38368903585,0.0,0.0,112059.38368903585,3.7800633847417275
9,0.0,0.0,0.0,0.0,111131.72343503419,0.0,0.0,111131.72343503419,-0.8278291593820541
10,0.0,0.0,0.0,0.0,108534.32403997896,0.0,0.0,108534.32403997896,-2.3372258746384156
11,0.0,0.0,0.0,0.0,106308.00518524087,0.0,0.0,106308.00518524087,-2.051257861907385
12,0.0,0.0,0.0,0.0,108905.40458029612,0.0,0.0,108905.40458029612,2.443277334128613
13,0.0,0.0,0.0,0.0,104638.25430224693,0.0,0.0,104638.25430224693,-3.9182171853583303
14,0.0,0.0,0.0,0.0,105565.90281430827,0.0,0.0,105565.90281430827,0.88652904069082
15,0.0,0.0,0.0,0.0,103339.54873374915,0.0,0.0,103339.54873374915,-2.1089708146344366
16,0.0,0.0,0.0,0.0,103896.1284474337,0.0,0.0,103896.1284474337,0.5385931335142091
17,0.0,0.0,0.0,0.0,107606.72249567897,0.0,0.0,107606.72249567897,3.5714459274800214
18,0.0,0.0,0.0,0.0,103339.54873374915,0.0,0.0,103339.54873374915,-3.965527118532186
19,0.0,0.0,0.0,0.0,109461.99603592095,0.0,0.0,109461.99603592095,5.924592643563864
20,0.0,0.0,0.0,0.0,110018.56400766515,0.0,0.0,110018.56400766515,0.5084577222231212
21,0.0,0.0,0.0,0.0,115584.4668219734,0.0,0.0,115584.4668219734,5.059057864016903
22,0.0,0.0,0.0,0.0,115769.95425340046,0.0,0.0,115769.95425340046,0.16047781897263746
23,0.0,0.0,0.0,0.0,119666.05921695348,0.0,0.0,119666.05921695348,3.3653852492893988
24,0.0,0.0,0.0,0.0,116512.0683662734,0.0,0.0,116512.0683662734,-2.6356603295191072
25,0.0,0.0,0.0,0.0,114656.78308409109,0.0,0.0,114656.78308409109,-1.592354601713819
26,0.0,0.0,0.0,0.0,112801.50954384911,0.0,0.0,112801.50954384911,-1.6181105821548192
27,0.0,0.0,0.0,0.0,114842.32922521982,0.0,0.0,114842.32922521982,1.8092130944199702
28,0.0,0.0,0.0,0.0,114285.73776959494,0.0,0.0,114285.73776959494,-0.4846570592741406
29,0.0,0.0,0.0,0.0,113543.61191478168,0.0,0.0,113543.61191478168,-0.6493599895285418
30,0.0,0.0,0.0,0.0,116883.13716465018,0.0,0.0,116883.13716465018,2.9411828578915777
31,0.0,0.0,0.0,0.0,114285.73776959494,0.0,0.0,114285.73776959494,-2.2222190968371747
32,0.0,0.0,0.0,0.0,118367.38887427669,0.0,0.0,118367.38887427669,3.571443982722089
33,0.0,0.0,0.0,0.0,117810.79741865184,0.0,0.0,117810.79741865184,-0.4702236493668299
34,0.0,0.0,0.0,0.0,120222.65067257834,0.0,0.0,120222.65067257834,2.0472259816354033
35,0.0,0.0,0.0,0.0,116512.0683662734,0.0,0.0,116512.0683662734,-3.086425299680484
36,0.0,0.0,0.0,0.0,110575.15546329,0.0,0.0,110575.15546329,-5.0955347254842405
37,0.0,0.0,0.0,0.0,113172.56660028556,0.0,0.0,113172.56660028556,2.3490006648535733
38,0.0,0.0,0.0,0.0,113172.56660028556,0.0,0.0,113172.56660028556,0.0
39,0.0,0.0,0.0,0.0,113358.10099947397,0.0,0.0,113358.10099947397,0.16393937573555561
40,0.0,0.0,0.0,0.0,113914.68071315851,0.0,0.0,113914.68071315851,0.4909924467481286
41,0.0,0.0,0.0,0.0,115609.38321935823,0.0,0.0,115609.38321935823,1.4876945584099577
42,0.0,0.0,0.0,0.0,109819.56160291575,0.0,0.0,109819.56160291575,-5.008089702768181
43,0.0,0.0,0.0,0.0,107951.88857368303,0.0,0.0,107951.88857368303,-1.7006742714798295
44,0.0,0.0,0.0,0.0,104963.62346885097,0.0,0.0,104963.62346885097,-2.7681452768585912
45,0.0,0.0,0.0,0.0,103469.46156158412,0.0,0.0,103469.46156158412,-1.4235045036438354
46,0.0,0.0,0.0,0.0,103842.99616743067,0.0,0.0,103842.99616743067,0.36100951933941694
47,0.0,0.0,0.0,0.0,102535.62504696776,0.0,0.0,102535.62504696776,-1.2589882502571204
48,0.0,0.0,0.0,0.0,104590.0771210641,0.0,0.0,104590.0771210641,2.0036470964655217
49,0.0,0.0,0.0,0.0,108885.73683023972,0.0,0.0,108885.73683023972,4.107138867679927
50,0.0,0.0,0.0,0.0,107204.8076200496,0.0,0.0,107204.8076200496,-1.5437551869725619
51,0.0,0.0,0.0,0.0,108138.64413466596,0.0,0.0,108138.64413466596,0.8710770863243456
52,0.0,0.0,0.0,0.0,106831.29649808371,0.0,0.0,106831.29649808371,-1.2089550845063246
53,0.0,0.0,0.0,0.0,106644.5174532201,0.0,0.0,106644.5174532201,-0.17483551261306962
54,0.0,0.0,0.0,0.0,104590.0771210641,0.0,0.0,104590.0771210641,-1.926437834047301
55,0.0,0.0,0.0,0.0,104963.62346885097,0.0,0.0,104963.62346885097,0.3571527606337721
56,0.0,0.0,0.0,0.0,104590.0771210641,0.0,0.0,104590.0771210641,-0.355881719248885
57,0.0,0.0,0.0,0.0,103469.46156158412,0.0,0.0,103469.46156158412,-1.0714358286425751
58,0.0,0.0,0.0,0.0,104029.7752122943,0.0,0.0,104029.7752122943,0.5415256272274016
59,0.0,0.0,0.0,0.0,104029.7752122943,0.0,0.0,104029.7752122943,0.0
60,0.0,0.0,0.0,0.0,105523.89015179982,0.0,0.0,105523.89015179982,1.436237785246064
61,0.0,0.0,0.0,0.0,104403.2980762005,0.0,0.0,104403.2980762005,-1.0619321122328773
62,0.0,0.0,0.0,0.0,105150.35554595327,0.0,0.0,105150.35554595327,0.7155496842709885
63,0.0,0.0,0.0,0.0,106457.73840835651,0.0,0.0,106457.73840835651,1.243346116725097
64,0.0,0.0,0.0,0.0,104776.84442398738,0.0,0.0,104776.84442398738,-1.5789307658607865
65,0.0,0.0,0.0,0.0,104029.7752122943,0.0,0.0,104029.7752122943,-0.7130098408671293
66,0.0,0.0,0.0,0.0,104776.84442398738,0.0,0.0,104776.84442398738,0.7181301797187567
67,0.0,0.0,0.0,0.0,104776.84442398738,0.0,0.0,104776.84442398738,0.0
68,0.0,0.0,0.0,0.0,105710.68093860373,0.0,0.0,105710.68093860373,0.8912623010839171
69,0.0,0.0,0.0,0.0,115235.84861351168,0.0,0.0,115235.84861351168,9.010601001085327
70,0.0,0.0,0.0,0.0,118037.36989930112,0.0,0.0,118037.36989930112,2.4311195860460266
71,0.0,0.0,0.0,0.0,123080.09882016983,0.0,0.0,123080.09882016983,4.272146122173615
72,0.0,0.0,0.0,0.0,123266.8661230931,0.0,0.0,123266.8661230931,0.1517445181744126
73,0.0,0.0,0.0,0.0,122706.52898850232,0.0,0.0,122706.52898850232,-0.454572386087293
74,0.0,0.0,0.0,0.0,121399.18135192005,0.0,0.0,121399.18135192005,-1.065426304010908
