Date,IVVB11
2021-01-04,210.8000030517578
2021-01-05,212.89999389648438
2021-01-06,215.75999450683594
2021-01-07,222.35000610351562
2021-01-08,224.0
2021-01-11,226.5
2021-01-12,219.0
2021-01-13,218.5
2021-01-14,214.02000427246094
2021-01-15,215.39999389648438
2021-01-18,215.13999938964844
2021-01-19,220.24000549316406
2021-01-20,221.35000610351562
2021-01-21,223.8300018310547
2021-01-22,226.89999389648438
2021-01-26,223.67999267578125
2021-01-27,218.0
2021-01-28,223.5
2021-01-29,220.0
2021-02-01,221.3000030517578
2021-02-02,222.22999572753906
2021-02-03,223.0
2021-02-04,227.60000610351562
2021-02-05,226.5
2021-02-08,227.0
2021-02-09,228.0
2021-02-10,228.3000030517578
2021-02-11,228.47999572753906
2021-02-12,229.39999389648438
2021-02-17,230.0
2021-02-18,229.8000030517578
2021-02-19,228.0
2021-02-22,229.5
2021-02-23,228.0
2021-02-24,230.75
2021-02-25,229.1999969482422
2021-02-26,231.0
2021-03-01,238.8000030517578
2021-03-02,238.39999389648438
2021-03-03,232.10000610351562
2021-03-04,231.3000030517578
2021-03-05,237.0
2021-03-08,243.25
2021-03-09,244.25
2021-03-10,240.67999267578125
2021-03-11,236.9499969482422
2021-03-12,237.1999969482422
2021-03-15,242.0
2021-03-16,241.9499969482422
2021-03-17,241.89999389648438
2021-03-18,236.89999389648438
2021-03-19,232.1999969482422
2021-03-22,236.25
2021-03-23,234.5800018310547
2021-03-24,237.0
2021-03-25,240.7100067138672
2021-03-26,246.8000030517578
2021-03-29,247.8699951171875
2021-03-30,247.5
2021-03-31,243.1999969482422
2021-04-01,249.39999389648438
2021-04-05,251.5
2021-04-06,247.99000549316406
2021-04-07,250.25
2021-04-08,248.5
2021-04-09,254.0
2021-04-12,256.5400085449219
2021-04-13,257.20001220703125
2021-04-14,254.2899932861328
2021-04-15,254.9499969482422
2021-04-16,255.0
2021-04-19,251.64999389648438
2021-04-20,249.8000030517578
2021-04-22,245.27999877929688
2021-04-23,249.0
2021-04-26,247.5
2021-04-27,248.5
2021-04-28,244.0
2021-04-29,244.5
2021-04-30,247.0
2021-05-03,247.38999938964844
2021-05-04,246.1999969482422
2021-05-05,242.5
2021-05-06,241.1999969482422
2021-05-07,240.36000061035156
2021-05-10,237.5
2021-05-11,235.89999389648438
2021-05-12,235.0
2021-05-13,236.35000610351562
2021-05-14,239.0
2021-05-17,238.89999389648438
2021-05-18,235.85000610351562
2021-05-19,237.5
2021-05-20,238.0
2021-05-21,242.0
2021-05-24,242.5
2021-05-25,242.42999267578125
2021-05-26,241.5
2021-05-27,240.60000610351562
2021-05-28,238.89999389648438
2021-05-31,238.0
2021-06-01,234.5
2021-06-02,232.89999389648438
2021-06-04,231.7100067138672
2021-06-07,231.4600067138672
2021-06-08,231.47000122070312
2021-06-09,232.0
2021-06-10,234.10000610351562
2021-06-11,237.39999389648438
2021-06-14,234.89999389648438
2021-06-15,232.89999389648438
2021-06-16,232.8000030517578
2021-06-17,230.1999969482422
2021-06-18,229.39999389648438
2021-06-21,230.0
2021-06-22,229.99000549316406
2021-06-23,228.0
2021-06-24,226.6999969482422
2021-06-25,228.60000610351562
2021-06-28,229.6999969482422
2021-06-29,229.6999969482422
2021-06-30,232.5
2021-07-01,236.1999969482422
2021-07-02,238.10000610351562
2021-07-05,239.1999969482422
2021-07-06,245.1999969482422
2021-07-07,248.9499969482422
2021-07-08,247.0
2021-07-12,247.0
2021-07-13,246.5
2021-07-14,242.2100067138672
2021-07-15,242.3000030517578
2021-07-16,241.39999389648438
2021-07-19,242.3000030517578
2021-07-20,246.38999938964844
2021-07-21,246.35000610351562
2021-07-22,248.8699951171875
2021-07-23,249.64999389648438
2021-07-26,248.97999572753906
2021-07-27,248.89999389648438
2021-07-28,244.6699981689453
2021-07-29,244.5
2021-07-30,250.35000610351562
2021-08-02,249.0
2021-08-03,249.8000030517578
2021-08-04,248.72999572753906
2021-08-05,251.3000030517578
2021-08-06,253.5
2021-08-09,252.72999572753906
2021-08-10,250.8000030517578
2021-08-11,253.10000610351562
2021-08-12,254.89999389648438
2021-08-13,254.88999938964844
2021-08-16,257.0
2021-08-17,254.5500030517578
2021-08-18,256.5
2021-08-19,260.3900146484375
2021-08-20,259.7900085449219
2021-08-23,263.0899963378906
2021-08-24,257.6499938964844
2021-08-25,254.6999969482422
2021-08-26,255.4600067138672
2021-08-27,255.4499969482422
2021-08-30,256.0
2021-08-31,254.0
2021-09-01,256.489990234375
2021-09-02,255.1999969482422
2021-09-03,256.5
2021-09-06,256.25
2021-09-08,261.5
2021-09-09,256.0
2021-09-10,256.0
2021-09-13,252.85000610351562
2021-09-14,254.0
2021-09-15,255.64999389648438
2021-09-16,256.3500061035156
2021-09-17,254.52000427246094
2021-09-20,252.42999267578125
2021-09-21,249.9199981689453
2021-09-22,253.00999450683594
2021-09-23,257.20001220703125
2021-09-24,259.0
2021-09-27,259.3999938964844
2021-09-28,256.3500061035156
2021-09-29,256.82000732421875
2021-09-30,255.0
2021-10-01,254.0
2021-10-04,254.17999267578125
2021-10-05,258.70001220703125
2021-10-06,260.0400085449219
2021-10-07,263.70001220703125
2021-10-08,263.010009765625
2021-10-11,263.54998779296875
2021-10-13,261.55999755859375
2021-10-14,265.7200012207031
2021-10-15,266.0
2021-10-18,269.79998779296875
2021-10-19,274.010009765625
2021-10-20,274.989990234375
2021-10-21,280.0
2021-10-22,278.8800048828125
2021-10-25,276.5
2021-10-26,277.9800109863281
2021-10-27,275.20001220703125
2021-10-28,281.8999938964844
